epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4540.53,0.59331,0.91996,0.57325,1.02818,0.44864,0.5432,0.5192,0.42408,0.44066,0.52867,0.51563,0.40793,1.00351,2.02376,1.59407,1.46045,0.000693305,0.000693305,0.000693305
61,4604.75,0.5892,0.86705,0.54222,1.03538,0.68096,0.65161,0.60373,0.4856,0.68096,0.65161,0.58896,0.45272,0.91184,1.93062,1.32634,1.41376,0.000676802,0.000676802,0.000676802
62,4669.28,0.59021,0.86351,0.51201,1.02693,0.6772,0.65625,0.64415,0.48657,0.6772,0.65625,0.61611,0.46782,0.96299,2.03959,1.44867,1.46441,0.000660299,0.000660299,0.000660299
63,4734.09,0.54875,0.84149,0.51659,1.02106,0.70536,0.64375,0.67255,0.502,0.70536,0.64375,0.66728,0.49401,0.94394,2.11216,1.22877,1.49628,0.000643795,0.000643795,0.000643795
64,4798.59,0.53941,0.84967,0.49283,1.00303,0.65401,0.7056,0.70468,0.53545,0.65401,0.7056,0.6862,0.52521,0.98021,1.96813,1.21387,1.46534,0.000627292,0.000627292,0.000627292
65,4863.35,0.53783,0.8367,0.48662,1.01002,0.59571,0.625,0.60774,0.48694,0.59571,0.625,0.58927,0.45837,0.97305,1.96844,1.45061,1.44083,0.000610789,0.000610789,0.000610789
66,4928.8,0.57506,0.83176,0.54112,1.02402,0.69768,0.66245,0.68249,0.53525,0.69768,0.66245,0.6457,0.51361,0.95466,2.05093,1.36815,1.42232,0.000594286,0.000594286,0.000594286
67,4995.34,0.57339,0.84183,0.4829,1.01114,0.70408,0.65917,0.61932,0.48566,0.70408,0.65917,0.6158,0.456,0.91518,2.13287,1.26441,1.44148,0.000577782,0.000577782,0.000577782
68,5060.62,0.5283,0.80664,0.48002,0.98801,0.49817,0.69375,0.57381,0.44227,0.49817,0.69375,0.57381,0.41031,0.97373,2.09926,1.44968,1.47247,0.000561279,0.000561279,0.000561279
69,5124.99,0.5457,0.83076,0.49687,1.00207,0.6014,0.62919,0.56724,0.42746,0.6014,0.62919,0.54029,0.41038,0.90478,2.3332,1.54627,1.42088,0.000544776,0.000544776,0.000544776
70,5190.51,0.54038,0.77078,0.45927,0.98997,0.5675,0.675,0.63738,0.4702,0.5675,0.675,0.63335,0.44554,0.86766,2.15471,1.25922,1.37526,0.000528272,0.000528272,0.000528272
71,5255.49,0.56515,0.85922,0.52052,1.01774,0.64584,0.75519,0.68642,0.4685,0.64584,0.75519,0.68481,0.47752,1.02483,2.09539,1.11079,1.48037,0.000511769,0.000511769,0.000511769
72,5319.93,0.53656,0.80188,0.48817,1.0029,0.67576,0.6125,0.64634,0.47262,0.67576,0.6125,0.67884,0.44983,0.97666,2.14056,1.18539,1.45928,0.000495266,0.000495266,0.000495266
73,5384.42,0.51037,0.80832,0.44059,1.00069,0.72952,0.55,0.68151,0.52057,0.72952,0.55,0.67533,0.46618,0.97372,2.19238,1.24338,1.49233,0.000478762,0.000478762,0.000478762
74,5449.45,0.49642,0.77004,0.45714,0.97259,0.5164,0.66585,0.64322,0.53633,0.5164,0.66585,0.64322,0.49709,0.84916,1.9671,1.23414,1.36017,0.000462259,0.000462259,0.000462259
75,5514.71,0.50079,0.81503,0.458,0.97205,0.53849,0.60534,0.61788,0.49053,0.53849,0.60534,0.61788,0.48996,0.82288,1.91003,1.52558,1.34468,0.000445756,0.000445756,0.000445756
76,5579.51,0.50508,0.83129,0.4686,0.9997,0.56905,0.5717,0.58395,0.45758,0.56905,0.5717,0.58395,0.45413,0.87486,2.25142,1.72581,1.37727,0.000429253,0.000429253,0.000429253
77,5644.92,0.50948,0.83251,0.44911,0.9852,0.58914,0.6083,0.57603,0.46001,0.58914,0.6083,0.57603,0.45845,0.87134,2.26918,1.55802,1.3648,0.000412749,0.000412749,0.000412749
78,5709.7,0.51822,0.81333,0.45979,1.00773,0.60551,0.53248,0.54595,0.44623,0.60551,0.53248,0.54668,0.43847,0.89123,2.0703,1.55473,1.39823,0.000396246,0.000396246,0.000396246
79,5774.85,0.49668,0.76635,0.447,0.99002,0.4772,0.63951,0.52024,0.40067,0.4772,0.63951,0.52024,0.41063,0.8925,1.96626,1.62905,1.38903,0.000379743,0.000379743,0.000379743
80,5839.39,0.48045,0.72958,0.39999,0.97994,0.51281,0.67655,0.55507,0.42323,0.51281,0.67655,0.53736,0.41489,0.93671,2.2035,1.70625,1.44329,0.000363239,0.000363239,0.000363239
81,5905.47,0.50525,0.7631,0.43825,0.99212,0.60116,0.525,0.60541,0.45829,0.60116,0.525,0.60095,0.46496,0.95368,2.44531,1.54326,1.4853,0.000346736,0.000346736,0.000346736
82,5970.73,0.51794,0.77432,0.43967,0.99526,0.58009,0.50268,0.55262,0.44083,0.5484,0.47215,0.53603,0.41334,0.98178,2.60838,1.57515,1.54034,0.000330233,0.000330233,0.000330233
83,6035.42,0.48966,0.7584,0.44748,0.97849,0.61621,0.54905,0.55417,0.45961,0.61621,0.54905,0.57104,0.43045,0.98749,2.61667,1.46738,1.56511,0.000313729,0.000313729,0.000313729
84,6099.95,0.49213,0.76286,0.42481,0.96923,0.61257,0.60089,0.56102,0.45852,0.61257,0.60089,0.56298,0.44329,0.90814,2.36267,1.50725,1.47007,0.000297226,0.000297226,0.000297226
85,6164.08,0.46685,0.76202,0.40856,0.96587,0.5898,0.575,0.57211,0.49728,0.5898,0.575,0.57475,0.4648,0.9262,2.29707,1.48981,1.50398,0.000280723,0.000280723,0.000280723
86,6228.49,0.48624,0.76053,0.4072,0.97311,0.60715,0.57697,0.6028,0.51138,0.60715,0.57697,0.6028,0.49341,0.82301,2.1551,1.5022,1.37758,0.00026422,0.00026422,0.00026422
87,6292.98,0.45223,0.75125,0.38273,0.9623,0.5732,0.56163,0.58428,0.50519,0.5732,0.56163,0.58428,0.48058,0.77037,2.14443,1.51652,1.32188,0.000247716,0.000247716,0.000247716
88,6357.44,0.48721,0.75974,0.40314,0.98864,0.59835,0.53182,0.57929,0.48279,0.59835,0.53182,0.57929,0.45139,0.79391,2.15461,1.63749,1.36182,0.000231213,0.000231213,0.000231213
89,6422.42,0.49353,0.7183,0.40313,0.98433,0.59975,0.5125,0.5596,0.47163,0.59975,0.5125,0.5596,0.44711,0.77205,2.19354,1.53884,1.33296,0.00021471,0.00021471,0.00021471
90,6487.8,0.44905,0.68616,0.37575,0.95301,0.56026,0.54338,0.60844,0.49783,0.56026,0.54338,0.60844,0.46843,0.80361,2.08607,1.49334,1.33273,0.000198206,0.000198206,0.000198206
91,6554.03,0.33996,0.53777,0.33077,0.94029,0.50666,0.66365,0.57552,0.42331,0.50666,0.66365,0.57552,0.41901,0.89894,2.26281,1.35113,1.41016,0.000181703,0.000181703,0.000181703
92,6618.22,0.3192,0.48673,0.30061,0.92031,0.46236,0.6647,0.54365,0.41821,0.46236,0.6647,0.54306,0.38223,0.99466,2.40766,1.3645,1.52037,0.0001652,0.0001652,0.0001652
93,6681.21,0.30598,0.49819,0.31264,0.92082,0.47436,0.66086,0.55186,0.43288,0.45342,0.62248,0.53989,0.39394,1.00987,2.51593,1.3104,1.61303,0.000148696,0.000148696,0.000148696
94,6745.18,0.28292,0.48775,0.27554,0.91381,0.45045,0.625,0.56203,0.43667,0.45359,0.625,0.5457,0.40475,1.02646,2.47503,1.32859,1.63954,0.000132193,0.000132193,0.000132193
95,6809.37,0.3022,0.49007,0.2811,0.93418,0.49397,0.63342,0.53043,0.42146,0.56861,0.59375,0.6006,0.40902,1.03576,2.31135,1.35777,1.63063,0.00011569,0.00011569,0.00011569
96,6872.64,0.28332,0.45247,0.2636,0.90145,0.60717,0.58615,0.6092,0.44491,0.60717,0.58615,0.60455,0.44069,1.00367,2.3119,1.35343,1.60202,9.91865e-05,9.91865e-05,9.91865e-05
97,6935.41,0.28239,0.4683,0.27378,0.91229,0.60793,0.59233,0.61831,0.45834,0.60793,0.59233,0.61831,0.45169,0.96911,2.33861,1.35881,1.57781,8.26832e-05,8.26832e-05,8.26832e-05
98,6998.26,0.29449,0.47764,0.26849,0.92787,0.62463,0.5922,0.59805,0.44832,0.62463,0.5922,0.59805,0.43268,0.94241,2.3761,1.31958,1.5349,6.61799e-05,6.61799e-05,6.61799e-05
99,7060.96,0.28725,0.45064,0.26174,0.89786,0.57762,0.67008,0.61121,0.46268,0.57762,0.67008,0.61121,0.44791,0.92937,2.45203,1.33385,1.52393,4.96766e-05,4.96766e-05,4.96766e-05
100,7124.31,0.28217,0.46147,0.25755,0.94338,0.55298,0.69621,0.6215,0.46669,0.55298,0.69621,0.6215,0.45509,0.90371,2.39167,1.39746,1.49208,3.31733e-05,3.31733e-05,3.31733e-05
